Country Name,Country Code,Series Name,Series Code,1996 [YR1996],1998 [YR1998],2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Kosovo,XKX,Rule of Law: Estimate,RL.EST,..,..,-0.0238308794796467,-0.0626054406166077,-0.833982408046722,-0.79521244764328,-0.82167911529541,-0.858364582061768,-0.757999122142792,-0.627310276031494,-0.593889713287354,-0.609969198703766,-0.519360542297363,-0.526741981506348,-0.542891442775726,-0.464366585016251,-0.478752702474594,-0.358059942722321,-0.435882121324539,-0.383978813886642,-0.409939825534821,-0.406139522790909,-0.300155848264694,-0.365272372961044,-0.311431914567947
Kosovo,XKX,Government Effectiveness: Estimate,GE.EST,..,..,..,..,..,..,..,-0.340060144662857,-0.215681239962578,-0.239731281995773,-0.405472666025162,-0.583555221557617,-0.435834616422653,-0.324966311454773,-0.35639289021492,-0.289582133293152,-0.424545168876648,-0.438443809747696,-0.41838464140892,-0.444443076848984,-0.370202392339706,-0.332898199558258,-0.257032990455627,-0.194915696978569,-0.0800606161355972
Kuwait,KWT,Voice and Accountability: Estimate,VA.EST,-0.243808045983315,-0.29908287525177,-0.297324925661087,-0.361814767122269,-0.39665812253952,-0.303084462881088,-0.483525156974792,-0.581767320632935,-0.545192837715149,-0.54338139295578,-0.48464497923851,-0.524435043334961,-0.558573603630066,-0.642977952957153,-0.657721102237701,-0.657588303089142,-0.663628280162811,-0.628724813461304,-0.606973350048065,-0.604618906974792,-0.655092835426331,-0.678229033946991,-0.704657375812531,-0.684839248657227,-0.594156503677368
Kuwait,KWT,Control of Corruption: Estimate,CC.EST,0.478682190179825,0.562503397464752,0.5645592212677,0.981545209884644,0.76597386598587,0.770029485225677,0.500354409217834,0.426627278327942,0.364861726760864,0.412061005830765,0.304186642169952,0.298077821731567,0.078883208334446,-0.197435706853867,-0.195235952734947,-0.246359720826149,-0.255415141582489,-0.298417150974274,-0.360093921422958,-0.31661069393158,-0.159423857927322,-0.0912377908825874,-0.0562149584293365,0.127275705337524,0.206611827015877
Kuwait,KWT,Rule of Law: Estimate,RL.EST,0.598828971385956,0.608353674411774,0.552490949630737,0.591441988945007,0.548373997211456,0.50747549533844,0.5277419090271,0.529348492622375,0.593082547187805,0.580513060092926,0.580420553684235,0.585773587226868,0.542900204658508,0.362745106220245,0.360858380794525,0.0231114327907562,-0.0200028289109468,0.00828418787568808,0.0807551294565201,0.186258539557457,0.193061023950577,0.310027807950974,0.239145532250404,0.278637081384659,0.341668486595154
Kuwait,KWT,Government Effectiveness: Estimate,GE.EST,0.115851625800133,-0.0834641233086586,-0.0979407951235771,0.0672201365232468,0.0714321210980415,0.0861663743853569,0.1588224619627,0.267627269029617,0.0755886510014534,-0.0328413285315037,0.179979756474495,0.145233184099197,0.00304531049914658,-0.0892168805003166,-0.0887207984924316,-0.162443950772285,-0.0792806819081306,-0.204460740089417,-0.215939998626709,-0.121419370174408,-0.017414465546608,-0.195234432816505,-0.073397770524025,0.1114886328578,0.0075402706861496
Kyrgyz Republic,KGZ,Voice and Accountability: Estimate,VA.EST,-0.787026464939117,-0.808966398239136,-1.09425985813141,-1.01542329788208,-1.02784180641174,-1.01614332199097,-0.88755065202713,-0.759082138538361,-0.962735652923584,-1.09176480770111,-1.01985239982605,-0.934311151504517,-0.68298727273941,-0.611097157001495,-0.538330972194672,-0.462573677301407,-0.404144912958145,-0.418315917253494,-0.428766906261444,-0.354231774806976,-0.45369553565979,-0.57676887512207,-0.590281307697296,-0.730020940303802,-0.723200380802155
Kyrgyz Republic,KGZ,Control of Corruption: Estimate,CC.EST,-0.993923425674438,-1.05879712104797,-1.00747871398926,-1.06477046012878,-1.03281939029694,-1.0977121591568,-1.26726925373077,-1.32556045055389,-1.32909786701202,-1.23223948478699,-1.31282722949982,-1.17509734630585,-1.23196542263031,-1.15086257457733,-1.16229820251465,-1.13007795810699,-1.17951929569244,-1.10505127906799,-1.07767915725708,-0.961097419261932,-0.960630595684052,-1.12495839595795,-1.15049564838409,-1.23040282726288,-1.22109532356262
Kyrgyz Republic,KGZ,Rule of Law: Estimate,RL.EST,-0.725473284721375,-0.79578822851181,-0.906720697879791,-0.853914260864258,-0.760160028934479,-0.793166995048523,-1.1232408285141,-1.31729280948639,-1.32194709777832,-1.38291394710541,-1.32975375652313,-1.26945745944977,-1.19611263275146,-1.1348477602005,-1.11533272266388,-0.936236679553986,-1.01451683044434,-1.04514920711517,-0.947072088718414,-0.928701460361481,-0.914637327194214,-0.962204277515411,-1.09876596927643,-1.14770913124084,-1.1741224527359
Kyrgyz Republic,KGZ,Government Effectiveness: Estimate,GE.EST,-0.380564451217651,-0.349467724561691,-0.405962914228439,-0.563407242298126,-0.556115865707397,-0.657609522342682,-0.875677227973938,-0.815081477165222,-0.786064028739929,-0.79922616481781,-0.96954619884491,-0.656763851642609,-0.636238276958466,-0.64659321308136,-0.649990081787109,-0.871007263660431,-0.978849112987518,-0.965182244777679,-0.75117963552475,-0.646288573741913,-0.731618404388428,-0.576322257518768,-0.776387393474579,-0.890511035919189,-0.890727877616882
Lao PDR,LAO,Voice and Accountability: Estimate,VA.EST,-1.13253033161163,-1.30651867389679,-1.3412059545517,-1.7388927936554,-1.77545630931854,-1.55103635787964,-1.65545511245728,-1.73277974128723,-1.71849822998047,-1.70953750610352,-1.69936954975128,-1.67684030532837,-1.67850601673126,-1.64357113838196,-1.6496410369873,-1.73345708847046,-1.75356042385101,-1.7593549489975,-1.75158488750458,-1.75008547306061,-1.81567823886871,-1.7927041053772,-1.67831230163574,-1.65810883045197,-1.63225436210632
Lao PDR,LAO,Control of Corruption: Estimate,CC.EST,-0.722833931446075,-0.689512550830841,-0.696313202381134,-0.673779785633087,-0.86640602350235,-1.14759469032288,-1.31761395931244,-1.33152568340302,-1.28131055831909,-1.20606291294098,-1.24884247779846,-1.19573104381561,-1.19296872615814,-1.02507245540619,-0.940677523612976,-0.853773772716522,-0.944427311420441,-0.986850142478943,-0.966396510601044,-0.997348785400391,-1.07688283920288,-1.08315575122833,-1.05511438846588,-0.96577924489975,-0.973836362361908
Lao PDR,LAO,Rule of Law: Estimate,RL.EST,-1.0479496717453,-0.992841362953186,-1.0572007894516,-1.25275146961212,-1.38021075725555,-1.25965797901154,-1.1734801530838,-1.01482832431793,-0.956503331661224,-0.874180316925049,-1.04979801177979,-0.974354088306427,-1.00235879421234,-0.856835246086121,-0.803551852703094,-0.755931556224823,-0.818589389324188,-0.811208486557007,-0.90196168422699,-0.863126993179321,-0.968784987926483,-0.882887125015259,-0.663916766643524,-0.804427981376648,-0.832905530929565
Lao PDR,LAO,Government Effectiveness: Estimate,GE.EST,-0.636936128139496,-0.599871158599854,-0.650617778301239,-0.859748542308807,-1.01234650611877,-1.03074407577515,-1.2096973657608,-0.992693543434143,-0.909020006656647,-0.892137885093689,-0.962556421756744,-0.868846118450165,-0.839057266712189,-0.84342086315155,-0.735925436019897,-0.416736543178558,-0.554749190807343,-0.432250291109085,-0.416755855083466,-0.723394215106964,-0.816677272319794,-0.739336550235748,-0.616476833820343,-0.597129583358765,-0.6432785987854
Latvia,LVA,Voice and Accountability: Estimate,VA.EST,0.72334748506546,0.82843679189682,0.742288053035736,0.837780058383942,0.767004191875458,0.700535595417023,0.781813085079193,0.846699059009552,0.828915297985077,0.780786275863647,0.849935352802277,0.79424387216568,0.736775279045105,0.775515556335449,0.770385980606079,0.849420309066772,0.846579790115356,0.842499852180481,0.797488391399384,0.792210936546326,0.855535626411438,0.868685662746429,0.89630264043808,0.937443792819977,0.993027687072754
